id,lat,lon,type,destination:ref,exit_to,name,destination,destination:street,ref,junction:ref
32927555,37.700611,-122.4714215,node,,,Unnamed Exit,,,49B,
32927591,37.731371,-122.4236705,node,,,Unnamed Exit,,,53,
32927645,37.7327065,-122.4132611,node,,,Unnamed Exit,,,54B,
32967549,37.6893302,-122.105396,node,,,Unnamed Exit,,,15,
33088598,33.7270082,-117.834893,node,,,Unnamed Exit,,,9,
33088605,33.7128694,-117.8476558,node,,,Unnamed Exit,,,8B,
33088623,33.6692934,-117.8915923,node,,,Unnamed Exit,,,4,
33088761,33.7014128,-117.8094435,node,,,Unnamed Exit,,,,
33088849,33.7249093,-117.8025617,node,,,Unnamed Exit,,,101A,
33088863,33.7397879,-117.8309629,node,,,Unnamed Exit,,,103A,
33102541,37.3676916,-121.9010237,node,,,Unnamed Exit,,,4D,
33106550,37.3674251,-121.9963624,node,,,Unnamed Exit,,,,
33142294,33.9964973,-117.9268792,node,,,Unnamed Exit,,,18,
33144364,37.6483304,-122.0920363,node,,,Unnamed Exit,,,26B,
33144374,37.6471468,-122.0926232,node,,,Unnamed Exit,,,26A,
33144561,37.6406672,-122.090709,node,,,Unnamed Exit,,,27,
33144662,37.6485624,-122.0966883,node,,,Unnamed Exit,,,27,
33144905,37.6419757,-122.0914285,node,,,Unnamed Exit,,,,
33154450,37.6279789,-122.0816779,node,,,Unnamed Exit,,,26,
33154458,37.634827,-122.0868459,node,,,Unnamed Exit,,,26,
33155431,37.6211916,-122.0771415,node,,,Unnamed Exit,,,25,
33213166,37.6304558,-122.1140015,node,,,Unnamed Exit,,,25A,
33220315,37.5650916,-122.2719176,node,,,Unnamed Exit,,,14B,
33242682,34.5057235,-118.1144989,node,,,Unnamed Exit,,,,
33280028,37.3767934,-122.0085955,node,,,Unnamed Exit,,,,
33343494,37.3851784,-122.0661376,node,,,Unnamed Exit,,,1B,
33466459,37.4193116,-121.9439626,node,,,Unnamed Exit,,,8,
33466463,37.4222086,-121.930169,node,,,Unnamed Exit,,,9A,
33717296,37.4128828,-121.9839711,node,,,Unnamed Exit,,,6,
33783786,37.3632639,-121.8953303,node,,,Unnamed Exit,,,388A,
33783800,37.3430841,-121.9014095,node,,,Unnamed Exit,,,7,
33784157,37.3845065,-121.9722514,node,,,Unnamed Exit,,,393,
33784671,37.3952263,-122.0103152,node,,,Unnamed Exit,,,395,
34006175,37.558941,-122.2809641,node,,,Unnamed Exit,,,14A,
34094723,33.8770871,-118.1888562,node,,,Unnamed Exit,,,,
34103738,33.9078099,-118.1810624,node,,,Unnamed Exit,,,11B;11A,
34575827,33.6966769,-117.9370201,node,,,Unnamed Exit,,,12,
34672864,33.6875163,-117.9049474,node,,,Unnamed Exit,,,10,
34672900,33.6686072,-117.8920055,node,,,Unnamed Exit,,,5A-B,
34672920,33.6591131,-117.9014596,node,,,Unnamed Exit,,,4,
35361216,34.1649892,-118.4748801,node,,,Unnamed Exit,,,19B,
35361246,34.1555193,-118.401071,node,,,Unnamed Exit,,,14,
35361362,34.0579715,-118.2441147,node,,,Unnamed Exit,,,2C,
35362969,34.0924998,-118.307543,node,,,Unnamed Exit,,,,
35362974,34.104022,-118.3195605,node,,,Unnamed Exit,,,8C,
35363002,34.1595676,-118.4621743,node,,,Unnamed Exit,,,18,
35833152,37.8823418,-122.308109,node,,,Unnamed Exit,,,13A,
35833157,37.8445718,-122.2977925,node,,,Unnamed Exit,,,10,
35854937,37.3413558,-121.9701006,node,,,Unnamed Exit,,,,
35855273,37.2731102,-121.9506018,node,,,Unnamed Exit,,,,
36220256,33.8733253,-118.2645284,node,,,Unnamed Exit,,,7B,
36220300,33.8730017,-118.198872,node,,,Unnamed Exit,,,12A,
36220304,33.8744951,-118.195159,node,,,Unnamed Exit,,,,
36550299,34.0717198,-118.1019922,node,,,Unnamed Exit,,,25A,
36550453,34.1394335,-118.015634,node,,,Unnamed Exit,,,33,
36740286,34.1301705,-117.960349,node,,,Unnamed Exit,,,,
36740306,34.1354428,-117.9773611,node,,,Unnamed Exit,,,35A,
37976436,34.0584076,-118.244475,node,,,Unnamed Exit,,,3,
38426677,34.3377137,-118.514494,node,,,Unnamed Exit,,,162,
38438028,34.2684584,-118.4353305,node,,,Unnamed Exit,,,,
38441086,34.2823909,-118.4157384,node,,,Unnamed Exit,,,46A;46B,
38441148,34.2740496,-118.426898,node,,,Unnamed Exit,,,44B,
38503223,37.6891858,-122.1356496,node,,,Unnamed Exit,,,31B,
38503240,37.7088509,-122.1641026,node,,,Unnamed Exit,,,33A,
38642361,34.0390767,-118.2735335,node,,,Unnamed Exit,,,,
38724023,34.0377297,-118.2743759,node,,,Unnamed Exit,,,,
38724146,34.0366785,-118.2709767,node,,,Unnamed Exit,,,,
48857761,32.6626038,-117.1092249,node,,,Unnamed Exit,,,10,
48857795,32.6564962,-117.1063703,node,,,Unnamed Exit,,,10,
48858442,32.8369054,-117.120927,node,,,Unnamed Exit,,,,
48860275,32.9532013,-117.1355427,node,,,Unnamed Exit,,,7,
48860946,32.8411217,-117.1264498,node,,,Unnamed Exit,,,,
48861754,32.8558613,-117.1171902,node,,,Unnamed Exit,,,10,
48863815,32.8031764,-116.9472756,node,,,Unnamed Exit,,,18,
48867008,32.9763438,-117.0876866,node,,,Unnamed Exit,,,21,
48867937,32.8404518,-117.1381198,node,,,Unnamed Exit,,,6,
48867955,32.8354747,-117.1387266,node,,,Unnamed Exit,,,8,
48867977,32.8288302,-117.1427332,node,,,Unnamed Exit,,,8,
48868053,32.7212213,-117.149319,node,,,Unnamed Exit,,,,
48868871,32.69445,-117.0950908,node,,,Unnamed Exit,,,11A,
48871218,33.19303,-117.1230638,node,,,Unnamed Exit,,,37,
48872683,32.7677674,-117.1393315,node,,,Unnamed Exit,,,,
48873797,32.8101831,-116.962059,node,,,Unnamed Exit,,,1B,
48874944,32.982218,-117.0845765,node,,,Unnamed Exit,,,21,
48875052,33.1810984,-117.3316446,node,,,Unnamed Exit,,,2,
48875155,32.835449,-117.233467,node,,,Unnamed Exit,,,26B,
48875206,32.8390135,-117.2293108,node,,,Unnamed Exit,,,1A,
48875989,32.9575838,-117.0996282,node,,,Unnamed Exit,,,19,
48876529,32.826734,-117.1175921,node,,,Unnamed Exit,,,9,
48876563,32.8176103,-117.1151335,node,,,Unnamed Exit,,,9,
48876743,32.7231176,-117.1630898,node,,,Unnamed Exit,,,17A,
48877267,32.647942,-117.103706,node,,,Unnamed Exit,,,8B,
48877446,33.296848,-117.4619582,node,,,Unnamed Exit,,,62,
48878380,32.7497805,-116.9985698,node,,,Unnamed Exit,,,10A,
48879766,32.7537378,-117.2365904,node,,,Unnamed Exit,,,,
48882732,32.8342089,-117.1189157,node,,,Unnamed Exit,,,11,
48883400,32.7647859,-117.1568056,node,,,Unnamed Exit,,,4B,
48883409,32.7633839,-117.1634787,node,,,Unnamed Exit,,,3A,
48883418,32.7637588,-117.1609067,node,,,Unnamed Exit,,,4A,
48885985,32.838745,-117.236633,node,,,Unnamed Exit,,,,
